block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1000,anticipation_pirt,-1,greater,ok,,-0.0003414736683091091,0.4357821089455272,False,0.05,2000,499,2000,3854447926,0.03617830001167022
1000,1000,carryover_crt,0,two-sided,ok,,0.46500942917352917,0.10794602698650675,False,0.05,2000,250,250000,3766227557,0.03178160000243224
1000,1000,carryover_crt,1000,two-sided,ok,,0.14904271644684677,0.7271364317841079,False,0.05,2000,125,125000,3593543729,0.018436599988490343
1000,1000,carryover_crt,2500,two-sided,ok,,-0.6081367578537707,0.2593703148425787,False,0.05,2000,83,43500,4159269451,0.01380269997753203
1000,1000,carryover_crt,5000,two-sided,ok,,0.7413136426907305,0.3148425787106447,False,0.05,2000,41,41000,1994754149,0.010996700002579018
1000,1000,carryover_crt,10000,two-sided,ok,,-0.7051054376324809,0.5172413793103449,False,0.05,2000,22,22000,1938769708,0.010631199984345585
1000,1000,total_effect_crt,5000,greater,ok,,-3.5096599171757696,1.0,False,0.05,2000,2,2000,1645975141,0.011510299984365702
1000,1001,anticipation_pirt,-1,greater,ok,,0.002492853473363953,0.8515742128935532,False,0.05,2000,499,2000,1520962777,0.030348600004799664
1000,1001,carryover_crt,0,two-sided,ok,,0.4094974311567843,0.15592203898050974,False,0.05,2000,250,250000,3061093812,0.025407000008272007
1000,1001,carryover_crt,1000,two-sided,ok,,-0.16932303545054797,0.6976511744127936,False,0.05,2000,125,125000,3703322670,0.021245899988571182
1000,1001,carryover_crt,2500,two-sided,ok,,-0.16903257267577473,0.7436281859070465,False,0.05,2000,83,43500,364928573,0.014723800006322563
1000,1001,carryover_crt,5000,two-sided,ok,,0.017538048257733255,0.9800099950024987,False,0.05,2000,41,41000,2489734049,0.015669800020987168
1000,1001,carryover_crt,10000,two-sided,ok,,1.0809899748983711,0.2723638180909545,False,0.05,2000,22,22000,2757927823,0.014231300010578707
1000,1001,total_effect_crt,5000,greater,ok,,6.609119851320982,0.5082458770614693,False,0.05,2000,1,1000,661178606,0.009149199991952628
1000,1002,anticipation_pirt,-1,greater,ok,,0.0018772615774630005,0.6266866566716641,False,0.05,2000,499,1000,3414660082,0.03498980001313612
1000,1002,carryover_crt,0,two-sided,ok,,0.4052068708176762,0.1679160419790105,False,0.05,2000,250,250000,3474162350,0.032299699989380315
1000,1002,carryover_crt,1000,two-sided,ok,,-0.5428580681137741,0.19290354822588707,False,0.05,2000,125,125000,697831560,0.020585899997968227
1000,1002,carryover_crt,2500,two-sided,ok,,-0.5406298678715366,0.2818590704647676,False,0.05,2000,83,43500,4083475906,0.016780899983132258
1000,1002,carryover_crt,5000,two-sided,ok,,-0.7205741304728863,0.32733633183408295,False,0.05,2000,41,41000,3543443656,0.010290099977282807
1000,1002,carryover_crt,10000,two-sided,ok,,0.44761271682212284,0.6901549225387307,False,0.05,2000,22,22000,2620167472,0.010340399981942028
1000,1002,total_effect_crt,5000,greater,ok,,-2.4692199518978595,1.0,False,0.05,2000,1,1000,3192341857,0.008687599998665974
1000,1003,anticipation_pirt,-1,greater,ok,,0.0012882762930853473,0.5362318840579711,False,0.05,2000,499,2000,2166790708,0.02836549998028204
1000,1003,carryover_crt,0,two-sided,ok,,0.15944119639877977,0.5867066466766616,False,0.05,2000,250,250000,2655552988,0.02973589999601245
1000,1003,carryover_crt,1000,two-sided,ok,,0.3851236709342004,0.367816091954023,False,0.05,2000,125,125000,3792066035,0.026537400000961497
1000,1003,carryover_crt,2500,two-sided,ok,,-1.0435286507691603,0.04147926036981509,True,0.05,2000,83,43500,1094286112,0.014251899992814288
1000,1003,carryover_crt,5000,two-sided,ok,,-0.04576731679597627,0.9460269865067467,False,0.05,2000,41,41000,1616825965,0.011124600016046315
1000,1003,carryover_crt,10000,two-sided,ok,,-1.5970717817519535,0.11594202898550725,False,0.05,2000,22,22000,3150950792,0.010327399999368936
1000,1003,total_effect_crt,5000,greater,ok,,6.178699857696891,0.2413793103448276,False,0.05,2000,2,2000,2209075875,0.010616300016408786
1000,1004,anticipation_pirt,-1,greater,ok,,-0.0017689309793982395,0.28735632183908044,False,0.05,2000,499,1500,641351299,0.032750299986219034
1000,1004,carryover_crt,0,two-sided,ok,,1.1990185326161087,0.0004997501249375312,True,0.05,2000,250,250000,2261737835,0.027022199996281415
1000,1004,carryover_crt,1000,two-sided,ok,,-0.8430337405618432,0.050474762618690654,False,0.05,2000,125,125000,3365462078,0.0178250000171829
1000,1004,carryover_crt,2500,two-sided,ok,,0.692543019484217,0.19590204897551225,False,0.05,2000,83,43500,2254361072,0.014993999997386709
