test,block_length,memory_events,trajectories_total,valid_tests,unavailable_tests,rejections,rejection_rate,rejection_rate_ci_lower,rejection_rate_ci_upper,mean_p_value,median_p_value,mean_randomized_units,mean_focal_events
anticipation_pirt,1000,-1,100,100,0,4,0.04,0.01566330399154762,0.0983707143588792,0.48417291354322833,0.4580209895052474,499.0,1500.0
anticipation_pirt,5000,-1,100,100,0,9,0.09,0.04807254000256516,0.1622621285271631,0.5033483258370813,0.4600199900049975,99.0,7275.0
anticipation_pirt,10000,-1,100,100,0,2,0.02,0.00550196755016235,0.07001179072854388,0.523888055972014,0.5502248875562219,49.0,14850.0
carryover_crt,1000,0,100,100,0,30,0.3,0.2189488529493276,0.3958485463334666,0.22361819090454776,0.11344327836081959,250.0,250000.0
carryover_crt,1000,1000,100,100,0,6,0.06,0.027786123963188192,0.1247681544589592,0.47881559220389813,0.4485257371314343,125.0,125000.0
carryover_crt,1000,2500,100,100,0,4,0.04,0.01566330399154762,0.0983707143588792,0.5242928535732134,0.5332333833083458,83.0,43500.0
carryover_crt,1000,5000,100,100,0,6,0.06,0.027786123963188192,0.1247681544589592,0.5133033483258371,0.5044977511244377,41.0,41000.0
carryover_crt,1000,10000,100,100,0,1,0.01,0.0017674320641406505,0.054486196178705315,0.526336831584208,0.5644677661169415,22.0,22000.0
carryover_crt,5000,0,100,100,0,4,0.04,0.01566330399154762,0.0983707143588792,0.4787256371814093,0.4312843578210894,50.0,250000.0
carryover_crt,5000,1000,100,100,0,5,0.05,0.02154367915436796,0.11175046923191913,0.5074562718640679,0.44877561219390305,50.0,200000.0
carryover_crt,5000,2500,100,100,0,6,0.06,0.027786123963188192,0.1247681544589592,0.5104497751124438,0.4900049975012494,50.0,125000.0
carryover_crt,5000,5000,100,100,0,10,0.1,0.0552291370606751,0.17436566150491345,0.481704147926037,0.46651674162918544,25.0,125000.0
carryover_crt,5000,10000,100,100,0,7,0.07,0.03431926106727268,0.137495147390735,0.5285907046476762,0.5594702648675662,16.0,80000.0
carryover_crt,10000,0,100,100,0,5,0.05,0.02154367915436796,0.11175046923191913,0.4856171914042979,0.49175412293853077,25.0,250000.0
carryover_crt,10000,1000,100,100,0,5,0.05,0.02154367915436796,0.11175046923191913,0.48957521239380314,0.48875562218890556,25.0,225000.0
carryover_crt,10000,2500,100,100,0,5,0.05,0.02154367915436796,0.11175046923191913,0.492503748125937,0.4987506246876562,25.0,187500.0
carryover_crt,10000,5000,100,100,0,3,0.03,0.010254524024038925,0.0845193642905276,0.4915842078960519,0.4995002498750625,25.0,125000.0
carryover_crt,10000,10000,100,100,0,1,0.01,0.0017674320641406505,0.054486196178705315,0.4470614692653674,0.4085457271364318,12.0,120000.0
total_effect_crt,1000,5000,100,95,5,0,0.0,0.0,0.038864853539472964,0.570488439990531,0.5037481259370314,2.736842105263158,2757.8947368421054
total_effect_crt,5000,5000,100,100,0,43,0.43,0.33733298524110106,0.5278461045078768,0.15234382808595703,0.06546726636681659,24.89,124450.0
total_effect_crt,10000,5000,100,100,0,62,0.62,0.5220975529551107,0.7090240074752127,0.08064467766116941,0.030484757621189407,50.0,250000.0
